transaction_id,transaction_date,store_location,transaction_qty,unit_price,Total_Bill,product_category,product_type,Size,Month Name,Day Name,Hour,Month,Day of Week,Day_time,Day_Type
114301,2023-06-01 11:33:29,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,11,6,3,Morning,Weekday
115405,2023-06-02 11:18:24,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,11,6,4,Morning,Weekend
115478,2023-06-02 12:02:45,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,12,6,4,Afternoon,Weekend
116288,2023-06-02 19:39:47,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,19,6,4,Evening,Weekend
116714,2023-06-03 12:24:57,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Saturday,12,6,5,Afternoon,Weekend
116739,2023-06-03 12:44:17,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Saturday,12,6,5,Afternoon,Weekend
116853,2023-06-03 13:58:14,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Saturday,13,6,5,Afternoon,Weekend
117389,2023-06-03 18:57:29,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Saturday,18,6,5,Evening,Weekend
118056,2023-06-04 14:31:43,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,14,6,6,Afternoon,Weekday
118281,2023-06-04 16:30:33,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,16,6,6,Evening,Weekday
118428,2023-06-04 17:53:30,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,17,6,6,Evening,Weekday
118913,2023-06-05 12:01:03,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Monday,12,6,0,Afternoon,Weekday
119196,2023-06-05 14:19:59,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Monday,14,6,0,Afternoon,Weekday
119240,2023-06-05 14:42:16,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Monday,14,6,0,Afternoon,Weekday
119351,2023-06-05 15:51:35,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Monday,15,6,0,Afternoon,Weekday
119444,2023-06-05 16:52:40,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Monday,16,6,0,Evening,Weekday
119692,2023-06-05 19:51:09,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Monday,19,6,0,Evening,Weekday
121279,2023-06-07 10:16:40,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,10,6,2,Morning,Weekday
121416,2023-06-07 10:59:19,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,10,6,2,Morning,Weekday
121493,2023-06-07 12:01:18,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,12,6,2,Afternoon,Weekday
121656,2023-06-07 15:05:47,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,15,6,2,Afternoon,Weekday
121709,2023-06-07 16:17:25,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,16,6,2,Evening,Weekday
121876,2023-06-07 19:56:37,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,19,6,2,Evening,Weekday
122518,2023-06-08 11:09:47,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,11,6,3,Morning,Weekday
122622,2023-06-08 12:09:57,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,12,6,3,Afternoon,Weekday
122818,2023-06-08 15:00:40,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,15,6,3,Afternoon,Weekday
122954,2023-06-08 16:58:47,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,16,6,3,Evening,Weekday
123152,2023-06-08 19:54:56,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,19,6,3,Evening,Weekday
123465,2023-06-09 08:39:35,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,8,6,4,Morning,Weekend
123499,2023-06-09 08:55:36,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,8,6,4,Morning,Weekend
123540,2023-06-09 09:10:06,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,9,6,4,Morning,Weekend
123603,2023-06-09 09:32:40,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,9,6,4,Morning,Weekend
123972,2023-06-09 12:04:39,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,12,6,4,Afternoon,Weekend
125324,2023-06-10 14:03:46,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Saturday,14,6,5,Afternoon,Weekend
126049,2023-06-11 09:10:48,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,9,6,6,Morning,Weekday
126086,2023-06-11 09:26:48,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,9,6,6,Morning,Weekday
126107,2023-06-11 09:32:07,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,9,6,6,Morning,Weekday
126787,2023-06-11 19:17:53,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Sunday,19,6,6,Evening,Weekday
128042,2023-06-13 07:33:17,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Tuesday,7,6,1,Morning,Weekday
128558,2023-06-13 10:02:57,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Tuesday,10,6,1,Morning,Weekday
128752,2023-06-13 10:56:47,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Tuesday,10,6,1,Morning,Weekday
128923,2023-06-13 14:16:08,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Tuesday,14,6,1,Afternoon,Weekday
129043,2023-06-13 16:14:54,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Tuesday,16,6,1,Evening,Weekday
129136,2023-06-13 17:45:45,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Tuesday,17,6,1,Evening,Weekday
129369,2023-06-14 08:17:01,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,8,6,2,Morning,Weekday
129437,2023-06-14 08:30:02,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,8,6,2,Morning,Weekday
129888,2023-06-14 10:20:10,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,10,6,2,Morning,Weekday
130181,2023-06-14 14:16:04,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Wednesday,14,6,2,Afternoon,Weekday
130620,2023-06-15 07:39:31,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,7,6,3,Morning,Weekday
130923,2023-06-15 09:32:07,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,9,6,3,Morning,Weekday
131166,2023-06-15 10:45:52,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,10,6,3,Morning,Weekday
131442,2023-06-15 15:00:09,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Thursday,15,6,3,Afternoon,Weekday
132915,2023-06-16 17:39:04,Astoria,1,3.0,3.0,Tea,Brewed herbal tea,Large,June,Friday,17,6,4,Evening,Weekend
